Type,TypeEn,Message,Choice,Euro,Icon
Filanthrwpia,Charity,Vohthhse tous Giatroys xwris synora, Plhrwse 200 Euro sto Jackpot,200,doctor.jpg
Filanthrwpia,Charity,Vohthhse th Unicef, Plhrwse 300 Euro sto Jackpot,300,unicef.png
Filanthrwpia,Charity,Prostasia ths agrias zwhs- Arktoyros, Plhrwse 150 Euro sto Jackpot,150,arktouros.jpg
Filanthrwpia,Charity,Oloi mazi boroyme, Plhrwse 350 Euro sto Jackpot,350,mporoume.jpg
Filanthrwpia,Charity,Swse to Perivallon-Greenpeace, Plhrwse 250 Euro sto Jackpot,250,greenpeace.jpg
Filanthrwpia,Charity,Allhleggyh gia olous, Plhrwse 250 Euro sto Jackpot,250,voitheia.jpg
Plhrwse ton geitona,PayTheNeighbor,Agora metaxeirismenhs othonhs apo to geitona,Plhrwse 60 Euro ston antipalo,60,monitor.png
Plhrwse ton geitona,PayTheNeighbor,O geitonas pairnei ptyxio,Plhrwse 100 Euro ston antipalo,100,ptyxio.jpg
Plhrwse ton geitona,PayTheNeighbor,Dwse ta koinoxrhsta sto geitona,Plhrwse 67 Euro ston antipalo,67,koinoxrista.jpg
Plhrwse ton geitona,PayTheNeighbor,Idiaitera mathhmata kitharas apo to geitona,Plhrwse 200 Euro ston antipalo,200,guitar.jpg
Plhrwse ton geitona,PayTheNeighbor,Dwse pisw ta daneika pou sou edwse o geitonas gia na agoraseis Laptop,Plhrwse 1250 Euro ston antipalo,1250,laptop.jpg
Plhrwse ton geitona,PayTheNeighbor,O geitonas krathse ton skylo sou stis diakopes,Plhrwse 300 Euro ston antipalo,300,dog.jpg
Plhrwse ton geitona,PayTheNeighbor,O geitonas poulaei laxnoys,Plhrwse 100 Euro ston antipalo,100,laxnoi.jpg
Plhrwse ton geitona,PayTheNeighbor,O geitonas pantreyetai,Plhrwse 400 Euro ston antipalo,400,gamos.jpg
Pare lefta apo to geitona,MadMoney,Format ston ypologisth tou geitona,Pare 50 Euro apo ton antipalo,50,format.jpeg
Pare lefta apo to geitona,MadMoney,Krathsh ths gatas tou geitona logw diakopwn,Pare 150 Euro apo ton antipalo,150,cat.jpg
Pare lefta apo to geitona,MadMoney,Phges to aftokinhto tou geitona sto KTEO,Pare 100 Euro apo ton antipalo,100,kteo.jpg
Pare lefta apo to geitona,MadMoney,Idiaitera mathhmata agglikwn sto geitona,Pare 380 Euro apo ton antipalo,380,english.jpg
Pare lefta apo to geitona,MadMoney,Pare pisw ta daneika pou edwses sto geitona gia na agorasei mhxanh,Pare 1300 Euro apo ton antipalo,1300,honda.jpg
Pare lefta apo to geitona,MadMoney,Pwlhsh metaxeirismenou Playstasion 3 sto Geitona,Pare 120 Euro apo ton antipalo,120,ps3.jpg
Pare lefta apo to geitona,MadMoney,Pare ta xrhmata gia th dosh tou petrelaiou apo to geitona,Pare 350 Euro apo ton antipalo,350,kalorifer.jpg
Pare lefta apo to geitona,MadMoney,O geitonas sou dinei xrhmata gia th giorth sou,Pare 100 Euro apo ton antipalo,100,dwro.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
Metakinhsh se thesh Symfwnias/Agorasth,MoveToDealBuyer,Phgainete sthn epomenh thesh Symfwnias/Agorasth, Entaksei,0,db.jpg
